iter	Passed	Remaining
0	57	57070
1	57	28829
2	58	19386
3	58	14682
4	59	11840
5	60	9965
6	60	8630
7	61	7615
8	61	6822
9	62	6190
10	63	5678
11	63	5249
12	64	4879
13	64	4568
14	65	4289
15	65	4053
16	66	3840
17	66	3650
18	67	3477
19	67	3322
20	68	3182
21	68	3057
22	69	2948
23	70	2848
24	70	2752
25	71	2661
26	71	2581
27	72	2505
28	72	2436
29	73	2376
30	73	2312
31	74	2255
32	75	2200
33	75	2150
34	76	2103
35	76	2059
36	77	2016
37	77	1974
38	78	1936
39	79	1898
40	79	1862
41	80	1829
42	80	1794
43	81	1763
44	81	1735
45	82	1705
46	82	1678
47	83	1653
48	83	1629
49	84	1605
50	85	1582
51	85	1560
52	86	1539
53	86	1521
54	87	1500
55	87	1480
56	88	1460
57	88	1442
58	89	1425
59	89	1407
60	90	1390
61	90	1373
62	91	1357
63	91	1342
64	92	1327
65	92	1314
66	93	1300
67	93	1287
68	94	1274
69	94	1260
70	95	1249
71	96	1237
72	96	1226
73	97	1215
74	97	1204
75	98	1192
76	98	1180
77	99	1172
78	99	1162
79	100	1153
80	100	1144
81	101	1135
82	101	1126
83	102	1117
84	103	1109
85	103	1100
86	103	1091
87	104	1082
88	104	1074
89	105	1066
90	106	1059
91	106	1052
92	107	1045
93	107	1038
94	108	1032
95	109	1026
96	109	1020
97	110	1014
98	110	1007
99	111	1001
100	111	995
101	112	990
102	113	984
103	113	977
104	113	970
105	114	964
106	114	959
107	115	954
108	116	948
109	116	943
110	117	937
111	117	932
112	118	927
113	118	922
114	119	918
115	119	913
116	120	908
117	120	903
118	121	898
119	121	894
120	122	890
121	123	885
122	123	881
123	124	876
124	124	872
125	125	868
126	125	863
127	126	860
128	126	856
129	127	851
130	127	847
131	128	843
132	128	839
133	129	835
134	129	832
135	130	828
136	131	825
137	131	822
138	132	819
139	132	815
140	133	812
141	133	809
142	134	805
143	134	801
144	135	798
145	135	795
146	136	792
147	137	788
148	137	785
149	138	782
150	138	776
151	138	774
152	139	770
153	139	767
154	140	765
155	141	762
156	141	759
157	142	756
158	142	753
159	143	750
160	143	747
161	144	745
162	144	742
163	145	739
164	145	736
165	146	734
166	146	731
167	147	728
168	147	725
169	148	724
170	148	721
171	149	719
172	149	716
173	150	714
174	151	712
175	151	709
176	152	706
177	152	704
178	153	701
179	153	699
180	153	696
181	154	694
182	154	691
183	155	689
184	156	687
185	156	685
186	157	683
187	157	681
188	158	678
189	158	676
190	159	674
191	159	672
192	160	670
193	161	669
194	161	667
195	162	665
196	162	663
197	163	661
198	163	659
199	164	657
200	164	655
201	165	653
202	165	651
203	166	649
204	167	647
205	167	646
206	168	644
207	168	643
208	169	641
209	169	639
210	170	637
211	170	635
212	171	633
213	172	632
214	172	630
215	173	628
216	173	626
217	174	625
218	174	623
219	175	621
220	175	619
221	176	617
222	176	615
223	177	613
224	177	611
225	178	610
226	178	608
227	179	606
228	179	604
229	180	603
230	180	601
231	181	599
232	181	598
233	182	596
234	182	595
235	183	593
236	183	592
237	184	590
238	184	588
239	185	587
240	185	585
241	186	583
242	186	582
243	187	580
244	187	578
245	188	577
246	188	575
247	189	574
248	189	572
249	190	571
250	190	569
251	191	568
252	191	566
253	192	566
254	193	565
255	194	564
256	194	563
257	195	561
258	195	560
259	196	558
260	196	556
261	197	555
262	197	553
263	198	552
264	198	551
265	199	549
266	199	548
267	200	547
268	200	545
269	201	544
270	201	542
271	202	541
272	202	540
273	203	539
274	204	537
275	204	536
276	204	534
277	205	533
278	205	532
279	206	531
280	207	529
281	207	528
282	208	527
283	208	526
284	209	524
285	209	523
286	210	522
287	210	520
288	211	519
289	211	518
290	212	517
291	212	515
292	213	514
293	213	513
294	214	511
295	214	510
296	215	509
297	215	508
298	216	507
299	216	506
300	217	504
301	217	503
302	218	502
303	218	500
304	219	499
305	219	498
306	220	497
307	220	496
308	221	495
309	221	493
310	222	492
311	222	491
312	223	490
313	223	488
314	224	487
315	224	486
316	225	485
317	225	484
318	226	483
319	226	482
320	227	481
321	228	480
322	228	479
323	229	478
324	229	476
325	230	475
326	230	474
327	231	474
328	231	473
329	232	471
330	232	470
331	233	470
332	234	468
333	234	467
334	235	466
335	235	465
336	236	464
337	236	463
338	237	462
339	237	461
340	238	460
341	239	459
342	239	459
343	240	458
344	240	456
345	241	455
346	241	454
347	242	454
348	242	453
349	243	452
350	244	451
351	244	450
352	245	449
353	245	448
354	246	447
355	246	446
356	247	444
357	247	444
358	248	443
359	248	441
360	249	440
361	249	439
362	250	438
363	250	437
364	251	436
365	251	435
366	252	434
367	252	433
368	253	433
369	253	432
370	254	431
371	254	430
372	255	429
373	256	428
374	256	427
375	257	426
376	257	425
377	258	424
378	258	424
379	259	423
380	259	422
381	260	421
382	260	420
383	261	419
384	261	418
385	262	417
386	263	416
387	263	415
388	264	415
389	264	413
390	265	412
391	265	411
392	266	411
393	266	410
394	267	409
395	267	408
396	268	408
397	269	407
398	269	406
399	270	405
400	270	404
401	271	403
402	271	402
403	272	401
404	273	401
405	273	400
406	274	399
407	275	399
408	275	398
409	276	397
410	276	396
411	277	395
412	277	394
413	278	393
414	278	392
415	279	391
416	279	391
417	280	390
418	281	389
419	281	388
420	282	388
421	282	387
422	283	386
423	284	385
424	284	385
425	285	384
426	285	383
427	286	382
428	286	381
429	287	380
430	287	379
431	288	379
432	288	378
433	289	377
434	289	376
435	290	375
436	290	374
437	291	373
438	292	373
439	292	372
440	293	371
441	293	370
442	294	370
443	295	369
444	295	368
445	296	367
446	296	366
447	296	365
448	297	364
449	297	364
450	298	363
451	298	362
452	299	361
453	300	360
454	300	360
455	301	359
456	301	358
457	302	357
458	302	356
459	303	356
460	303	355
461	304	354
462	304	353
463	305	352
464	306	352
465	306	351
466	307	350
467	307	349
468	308	348
469	308	347
470	309	347
471	309	346
472	310	345
473	310	344
474	311	343
475	311	343
476	312	342
477	312	341
478	312	340
479	313	339
480	313	338
481	314	338
482	315	337
483	315	336
484	316	336
485	317	335
486	317	334
487	318	333
488	318	333
489	319	332
490	319	331
491	320	330
492	320	329
493	321	329
494	322	328
495	322	327
496	323	327
497	323	326
498	324	325
499	324	324
500	325	323
501	325	323
502	326	322
503	326	321
504	327	320
505	327	320
506	328	319
507	328	318
508	329	317
509	329	316
510	330	316
511	331	315
512	331	314
513	332	314
514	332	313
515	333	312
516	333	311
517	334	310
518	334	310
519	335	309
520	335	308
521	336	307
522	336	307
523	337	306
524	337	305
525	338	304
526	338	304
527	339	303
528	339	302
529	340	301
530	341	301
531	341	300
532	342	299
533	342	298
534	343	298
535	343	297
536	344	296
537	344	295
538	345	295
539	345	294
540	346	293
541	346	293
542	347	292
543	348	291
544	348	291
545	349	290
546	349	289
547	350	289
548	350	288
549	351	287
550	351	286
551	352	285
552	352	285
553	353	284
554	353	283
555	354	282
556	354	282
557	355	281
558	355	280
559	356	280
560	357	279
561	357	278
