time,load,temp
2012/1/1 0:00,2698,32
2012/1/1 1:00,2558,32.66666667
2012/1/1 2:00,2444,30
2012/1/1 3:00,2402,31
2012/1/1 4:00,2403,32
2012/1/1 5:00,2453,31.33333333
2012/1/1 6:00,2560,30
2012/1/1 7:00,2719,29
2012/1/1 8:00,2916,29
2012/1/1 9:00,3105,33.33333333
2012/1/1 10:00,3174,36.66666667
2012/1/1 11:00,3180,40.33333333
2012/1/1 12:00,3184,43.66666667
2012/1/1 13:00,3147,43.33333333
2012/1/1 14:00,3122,45
2012/1/1 15:00,3137,44.66666667
2012/1/1 16:00,3486,43.33333333
2012/1/1 17:00,3717,41.66666667
2012/1/1 18:00,3659,41.33333333
2012/1/1 19:00,3513,41.66666667
2012/1/1 20:00,3344,42.66666667
2012/1/1 21:00,3129,43.33333333
2012/1/1 22:00,2873,44.33333333
2012/1/1 23:00,2639,44
2012/1/2 0:00,2458,43.66666667
2012/1/2 1:00,2354,43
2012/1/2 2:00,2294,42.66666667
2012/1/2 3:00,2288,43.66666667
2012/1/2 4:00,2353,43
2012/1/2 5:00,2503,41
2012/1/2 6:00,2737,40
2012/1/2 7:00,2960,37.33333333
2012/1/2 8:00,3185,37
2012/1/2 9:00,3390,37.33333333
2012/1/2 10:00,3510,38.66666667
2012/1/2 11:00,3549,40
2012/1/2 12:00,3517,38
2012/1/2 13:00,3469,39.33333333
2012/1/2 14:00,3449,38.33333333
2012/1/2 15:00,3504,38
2012/1/2 16:00,3843,37.33333333
2012/1/2 17:00,4125,36
2012/1/2 18:00,4064,34.33333333
2012/1/2 19:00,3919,31.33333333
2012/1/2 20:00,3747,31
2012/1/2 21:00,3484,30.33333333
2012/1/2 22:00,3190,28.66666667
2012/1/2 23:00,2949,27.66666667
2012/1/3 0:00,2780,26.33333333
2012/1/3 1:00,2699,26
2012/1/3 2:00,2663,25.66666667
2012/1/3 3:00,2683,24.66666667
2012/1/3 4:00,2799,22.66666667
2012/1/3 5:00,3083,21.66666667
2012/1/3 6:00,3593,20.33333333
2012/1/3 7:00,3845,19
2012/1/3 8:00,3865,18.33333333
2012/1/3 9:00,3906,18.66666667
2012/1/3 10:00,3935,18.33333333
2012/1/3 11:00,3924,18.66666667
2012/1/3 12:00,3897,18.66666667
2012/1/3 13:00,3877,18.66666667
2012/1/3 14:00,3854,18.66666667
2012/1/3 15:00,3904,17.66666667
2012/1/3 16:00,4200,15.66666667
2012/1/3 17:00,4482,13.33333333
2012/1/3 18:00,4460,11.66666667
2012/1/3 19:00,4353,10.66666667
2012/1/3 20:00,4198,9.666666667
2012/1/3 21:00,3935,8.666666667
2012/1/3 22:00,3605,7.666666667
2012/1/3 23:00,3347,7
2012/1/4 0:00,3184,6
2012/1/4 1:00,3104,5.666666667
2012/1/4 2:00,3065,5.333333333
2012/1/4 3:00,3077,5
2012/1/4 4:00,3162,4.666666667
2012/1/4 5:00,3444,4
