"traffic","YEAR_","MONTH_","DATE_"
73.637,1968,1,"JAN 1968"
77.136,1968,2,"FEB 1968"
81.481,1968,3,"MAR 1968"
84.127,1968,4,"APR 1968"
84.562,1968,5,"MAY 1968"
91.959,1968,6,"JUN 1968"
94.174,1968,7,"JUL 1968"
96.087,1968,8,"AUG 1968"
88.952,1968,9,"SEP 1968"
83.479,1968,10,"OCT 1968"
80.814,1968,11,"NOV 1968"
77.466,1968,12,"DEC 1968"
75.225,1969,1,"JAN 1969"
79.418,1969,2,"FEB 1969"
84.813,1969,3,"MAR 1969"
85.691,1969,4,"APR 1969"
87.49,1969,5,"MAY 1969"
92.995,1969,6,"JUN 1969"
95.375,1969,7,"JUL 1969"
98.396,1969,8,"AUG 1969"
92.791,1969,9,"SEP 1969"
88.018,1969,10,"OCT 1969"
86.899,1969,11,"NOV 1969"
83.636,1969,12,"DEC 1969"
79.245,1970,1,"JAN 1970"
85.536,1970,2,"FEB 1970"
89.313,1970,3,"MAR 1970"
88.785,1970,4,"APR 1970"
91.307,1970,5,"MAY 1970"
96.394,1970,6,"JUN 1970"
99.864,1970,7,"JUL 1970"
100.744,1970,8,"AUG 1970"
96.009,1970,9,"SEP 1970"
89.428,1970,10,"OCT 1970"
85.518,1970,11,"NOV 1970"
84.603,1970,12,"DEC 1970"
85.169,1971,1,"JAN 1971"
87.973,1971,2,"FEB 1971"
88.696,1971,3,"MAR 1971"
92.686,1971,4,"APR 1971"
91.807,1971,5,"MAY 1971"
98.593,1971,6,"JUN 1971"
100.677,1971,7,"JUL 1971"
103.084,1971,8,"AUG 1971"
97.644,1971,9,"SEP 1971"
92.648,1971,10,"OCT 1971"
89.486,1971,11,"NOV 1971"
88.593,1971,12,"DEC 1971"
86.141,1972,1,"JAN 1972"
89.156,1972,2,"FEB 1972"
93.795,1972,3,"MAR 1972"
93.422,1972,4,"APR 1972"
94.277,1972,5,"MAY 1972"
99.927,1972,6,"JUN 1972"
102.451,1972,7,"JUL 1972"
105.003,1972,8,"AUG 1972"
98.477,1972,9,"SEP 1972"
93.219,1972,10,"OCT 1972"
90.41,1972,11,"NOV 1972"
87.763,1972,12,"DEC 1972"
84.883,1973,1,"JAN 1973"
89.476,1973,2,"FEB 1973"
93.191,1973,3,"MAR 1973"
96.919,1973,4,"APR 1973"
95.869,1973,5,"MAY 1973"
100.272,1973,6,"JUN 1973"
102.103,1973,7,"JUL 1973"
104.381,1973,8,"AUG 1973"
97.779,1973,9,"SEP 1973"
94.369,1973,10,"OCT 1973"
88.432,1973,11,"NOV 1973"
84.314,1973,12,"DEC 1973"
81.714,1974,1,"JAN 1974"
81.222,1974,2,"FEB 1974"
74.29,1974,3,"MAR 1974"
87.121,1974,4,"APR 1974"
89.099,1974,5,"MAY 1974"
93.743,1974,6,"JUN 1974"
96.741,1974,7,"JUL 1974"
99.366,1974,8,"AUG 1974"
95.184,1974,9,"SEP 1974"
90.407,1974,10,"OCT 1974"
88.968,1974,11,"NOV 1974"
86.765,1974,12,"DEC 1974"
83.674,1975,1,"JAN 1975"
84.265,1975,2,"FEB 1975"
88.551,1975,3,"MAR 1975"
89.998,1975,4,"APR 1975"
93.421,1975,5,"MAY 1975"
98.109,1975,6,"JUN 1975"
100.235,1975,7,"JUL 1975"
102.866,1975,8,"AUG 1975"
96.903,1975,9,"SEP 1975"
92.426,1975,10,"OCT 1975"
91.024,1975,11,"NOV 1975"
91.07,1975,12,"DEC 1975"
87.65,1976,1,"JAN 1976"
87.534,1976,2,"FEB 1976"
92.763,1976,3,"MAR 1976"
97.42,1976,4,"APR 1976"
99.845,1976,5,"MAY 1976"
103.349,1976,6,"JUN 1976"
102.438,1976,7,"JUL 1976"
104.467,1976,8,"AUG 1976"
99.74,1976,9,"SEP 1976"
96.101,1976,10,"OCT 1976"
93.858,1976,11,"NOV 1976"
93.265,1976,12,"DEC 1976"
89.609,1977,1,"JAN 1977"
92.934,1977,2,"FEB 1977"
95.272,1977,3,"MAR 1977"
96.791,1977,4,"APR 1977"
96.478,1977,5,"MAY 1977"
101.938,1977,6,"JUN 1977"
105.094,1977,7,"JUL 1977"
108.158,1977,8,"AUG 1977"
101.625,1977,9,"SEP 1977"
97.255,1977,10,"OCT 1977"
95.378,1977,11,"NOV 1977"
92.997,1977,12,"DEC 1977"
88.047,1978,1,"JAN 1978"
92.172,1978,2,"FEB 1978"
98.05,1978,3,"MAR 1978"
97.874,1978,4,"APR 1978"
101.7,1978,5,"MAY 1978"
105.794,1978,6,"JUN 1978"
108.016,1978,7,"JUL 1978"
111.475,1978,8,"AUG 1978"
104.945,1978,9,"SEP 1978"
100.496,1978,10,"OCT 1978"
97.555,1978,11,"NOV 1978"
95.556,1978,12,"DEC 1978"
92.926,1979,1,"JAN 1979"
96.196,1979,2,"FEB 1979"
99.117,1979,3,"MAR 1979"
97.932,1979,4,"APR 1979"
89.27,1979,5,"MAY 1979"
98.836,1979,6,"JUN 1979"
102.335,1979,7,"JUL 1979"
106.912,1979,8,"AUG 1979"
102.047,1979,9,"SEP 1979"
97.428,1979,10,"OCT 1979"
95.025,1979,11,"NOV 1979"
91.53,1979,12,"DEC 1979"
87.958,1980,1,"JAN 1980"
89.159,1980,2,"FEB 1980"
94.853,1980,3,"MAR 1980"
95.799,1980,4,"APR 1980"
98.193,1980,5,"MAY 1980"
103.468,1980,6,"JUN 1980"
104.989,1980,7,"JUL 1980"
108.179,1980,8,"AUG 1980"
103.084,1980,9,"SEP 1980"
99.781,1980,10,"OCT 1980"
96.403,1980,11,"NOV 1980"
95.072,1980,12,"DEC 1980"
90.707,1981,1,"JAN 1981"
94.949,1981,2,"FEB 1981"
94.97,1981,3,"MAR 1981"
100.286,1981,4,"APR 1981"
101.497,1981,5,"MAY 1981"
106.352,1981,6,"JUN 1981"
107.415,1981,7,"JUL 1981"
109.385,1981,8,"AUG 1981"
103.266,1981,9,"SEP 1981"
99.432,1981,10,"OCT 1981"
93.965,1981,11,"NOV 1981"
94.385,1981,12,"DEC 1981"
